"cod_ibge";"regiao";"uf";"municipio";"total_2010";"total_2011";"total_2012"
"2406106";"Nordeste";"RN";"Jucurutu";2;2;1
"2407104";"Nordeste";"RN";"Macaíba";2;1;2
"2408003";"Nordeste";"RN";"Mossoró";104;101;107
"2408102";"Nordeste";"RN";"Natal";362;358;395
"2408300";"Nordeste";"RN";"Nova Cruz";2;1;1
"2408904";"Nordeste";"RN";"Parelhas";3;1;4
"2409407";"Nordeste";"RN";"Pau dos Ferros";9;16;11
"2411205";"Nordeste";"RN";"Santa Cruz";1;3;6
"2411403";"Nordeste";"RN";"Santana do Matos";1;3;1
"2411502";"Nordeste";"RN";"Santo Antônio";4;5;1
"2412005";"Nordeste";"RN";"São Gonçalo do Amarante";1;4;1
"2412203";"Nordeste";"RN";"São José de Mipibu";3;1;4
"2412609";"Nordeste";"RN";"São Paulo do Potengi";1;1;1
"2413904";"Nordeste";"RN";"Taipu";1;1;1
"2500304";"Nordeste";"PB";"Alagoa Grande";2;1;4
"2501807";"Nordeste";"PB";"Bayeux";2;1;1
"2503704";"Nordeste";"PB";"Cajazeiras";15;22;12
"2504009";"Nordeste";"PB";"Campina Grande";290;320;269
"2504306";"Nordeste";"PB";"Catolé do Rocha";3;4;4
"2504405";"Nordeste";"PB";"Conceição";1;1;1
"2504900";"Nordeste";"PB";"Cruz do Espírito Santo";1;1;2
"2506301";"Nordeste";"PB";"Guarabira";9;5;8
"2507507";"Nordeste";"PB";"João Pessoa";369;337;362
"2507705";"Nordeste";"PB";"Juazeirinho";1;2;3
"2508901";"Nordeste";"PB";"Mamanguape";2;2;3
"2509701";"Nordeste";"PB";"Monteiro";2;4;2
"2510808";"Nordeste";"PB";"Patos";62;46;68
"2512101";"Nordeste";"PB";"Pombal";2;2;1
"2512309";"Nordeste";"PB";"Princesa Isabel";3;6;2
"2513703";"Nordeste";"PB";"Santa Rita";6;4;8
"2513901";"Nordeste";"PB";"São Bento";2;1;1
"2514503";"Nordeste";"PB";"São José de Piranhas";1;1;1
"2516003";"Nordeste";"PB";"Solânea";2;1;1
"2516201";"Nordeste";"PB";"Sousa";15;8;6
"2516706";"Nordeste";"PB";"Teixeira";1;1;2
"2600104";"Nordeste";"PE";"Afogados da Ingazeira";18;11;10
